name,start_lon,start_lat,end_lon,end_lat
Amazon River - Santarém,-54.6601009456048,-2.44669353929728,-54.7310127924258,-2.40253035378016
James River - Richmond,-77.4271967172061,37.5289611546282,-77.4799901185838,37.5288372859722
Tokyo Bay Chiba Coast,140.117007202398,35.5662618181018,139.967456299776,35.6799038890108
Ganges River - Kolkata,88.3668260321791,22.6200553152798,88.3244585466064,22.5513732165256
Danube River - Budapest,19.0686591835589,47.4698751706144,19.0406914706899,47.5186795837076
Chesapeake Bay - Cape Charles South,-76.0116931669518,37.1975618804769,-76.0277810969575,37.2622308930834
Lofoten Coast Reine,13.1404700302172,67.9491093505215,13.0859364894769,67.927399398206
Baltic Coast Klaipeda,21.0837715360574,55.7419099593355,21.0993908855774,55.6863313260161
Capri Island South,14.2561308368507,40.5448660391889,14.2311642828524,40.5454038556046
St. Lawrence River - Quebec City,-71.1770212668704,46.853621924312,-71.2207554455265,46.7723810128757
Cape Reinga Coast,172.889299684418,-34.6851474071544,172.641534065453,-34.4793296336726
Jones Beach,-73.4680772165649,40.597896695033,-73.5724144713588,40.572037556376
Long Island - Fire Island East,-72.7638007467059,40.7583432380328,-73.0324535584507,40.6697870575098
Liberia - Monrovia Coast,-10.7071362082586,6.2442716159512,-10.8200348190073,6.30715089521657
Muizenberg Beach,18.6100377353753,-34.0755790565523,18.4671572951184,-34.110594018319
Lake Dongting South,112.891421841397,28.8289283191495,112.873850073188,28.8997165376828
Mekong River - Can Tho,105.804998849233,10.0438294321373,105.658933525988,10.148492408767
Great Lakes - Lake Ontario South,-77.5329250703158,43.2287001552035,-77.7122352028059,43.3176319286526
Dalmatian Coast Dubrovnik,18.1298031274562,42.633540229702,18.0629336628267,42.6491552286711
Galveston Beach,-94.7651042165712,29.3040030098636,-94.8466372210659,29.2519589839229
Long Island - Jones Beach,-73.3057921750515,40.6374370838659,-73.4646409596704,40.5986082730697
Atlantic City Beach,-74.406565832477,39.3618630702756,-74.5243357278582,39.3077407801161
Sognefjord Inner,6.86878697482323,61.1724396292819,6.84392128804291,61.1849762765671
Gulf of California - Santa Rosalia,-112.269128379125,27.3566979168819,-112.252649965382,27.3268679676113
Lake Saimaa South,28.2164776555762,61.0677714605185,28.1362983280406,61.0599623761501
Rio Paraná - Rosario,-60.5874146792667,-32.9791844906199,-60.6842546462909,-32.8703661562852
Rincon Surf Coast,-67.1934379600421,18.3940091838193,-67.2691697774998,18.3676905728758
Long Island - Southampton,-72.3495755974342,40.8821003323109,-72.4710941367002,40.8381557765863
Thames River - Canary Wharf Reach,0.00995246412366097,51.5063737422945,-0.0308530864971311,51.5004794508404
Costa Blanca Benidorm,-0.1079126116677,38.5317354699504,-0.160676726764682,38.5277643664402
Gulf of California - La Paz,-110.303452766214,24.1796776200815,-110.353747071669,24.1253061400394
Grayton Beach Coast,-86.0846995312724,30.3008328444775,-86.1908134870742,30.3339680117288
Long Island Sound - Port Washington,-73.7123540809648,40.8000942094821,-73.7042320192144,40.8328379262989
Costa Brava North,3.15013726678595,42.25971298298,3.10425542757118,42.198270870847
Li River - Yangshuo,110.510148666175,24.7752771616655,110.493506966165,24.781456235055
Chesapeake Bay - Aberdeen Proving Ground,-76.1199303780786,39.4769146247813,-76.1325039544423,39.5078923532769
Tennessee River - Chattanooga,-85.3261995133436,35.0262771658167,-85.2754366274035,35.0866260842845
Jamaica - Negril Seven Mile,-78.3490946552973,18.2799073768057,-78.3392544650996,18.3538247713326
Columbia River - Astoria,-123.787632268026,46.1977837139975,-123.866319680079,46.1874717091236
